Activity Type,Date,Title,Distance,Time,Avg Pace,Total Ascent,Steps
Running,2023-11-01 16:59:10,Berkeley Running,3.59,00:30:04,8:22,157,"5,422"
Running,2023-10-31 19:14:19,Berkeley Running,5.26,00:38:15,7:17,256,"6,968"
Running,2023-10-30 16:22:45,Berkeley Running,4.03,00:28:25,7:03,135,"5,168"
Running,2023-10-28 21:06:09,Berkeley Running,4.16,00:29:22,7:04,433,"5,394"
Running,2023-10-27 10:12:50,Berkeley Running,4.11,00:30:14,7:22,194,"5,570"
Running,2023-10-26 10:32:29,Berkeley Running,5.03,00:36:36,7:17,259,"6,680"
Running,2023-10-25 21:30:44,Berkeley Running,3.31,00:21:52,6:37,236,"3,986"
Running,2023-10-24 10:35:57,Berkeley Running,2.72,00:21:21,7:52,128,"3,896"
Running,2023-10-23 09:57:11,Berkeley Running,3.12,00:23:12,7:26,164,"4,232"
Running,2023-10-22 17:38:41,Berkeley Running,2.54,00:17:59,7:05,49,"3,334"
Running,2023-10-21 07:35:43,Berkeley Running,2.03,00:15:57,7:51,253,"2,908"
Running,2023-10-20 15:57:34,Berkeley Running,2.07,00:15:04,7:17,121,"2,790"
Running,2023-10-19 22:15:27,Berkeley Running,1.72,00:13:15,7:41,89,"2,436"
Running,2023-10-18 21:35:09,Berkeley Running,1.85,00:14:00,7:35,121,"2,574"
Running,2023-10-17 21:38:18,Berkeley Running,1.34,00:10:02,7:30,62,"1,858"
Running,2023-10-16 18:11:45,Berkeley Running,1.42,00:12:05,8:31,279,"2,208"
Running,2023-10-15 16:57:51,Berkeley Running,2.59,00:20:34,7:56,236,"3,726"
Running,2023-10-14 09:02:49,Berkeley Running,13.17,01:39:44,7:34,518,"17,940"
Running,2023-10-13 09:08:36,Berkeley Running,5.13,00:40:45,7:56,266,"7,374"
Running,2023-10-12 09:56:36,Berkeley Running,8.26,01:03:10,7:39,390,"11,436"
Running,2023-10-11 06:38:21,Berkeley Running,4.25,00:33:22,7:51,259,"6,022"
Running,2023-10-10 06:45:58,Berkeley Running,12.04,01:36:05,7:59,482,"17,336"
Running,2023-10-09 10:00:52,Berkeley Running,6.09,00:50:52,8:21,220,"9,214"
Running,2023-10-08 21:07:47,Berkeley Running,4.08,00:34:18,8:24,246,"6,136"
Running,2023-10-07 07:36:33,San Francisco Running,15.48,01:50:59,7:10,"1,614","20,032"
Running,2023-10-06 10:38:13,Berkeley Running,6.34,00:46:34,7:21,322,"8,470"
Running,2023-10-05 21:34:26,Berkeley Running,8.08,01:01:56,7:40,253,"10,884"
